Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Inflammatory Response,2/200,0.2568151396703299,0.4460473478484676,0,0,2.073232323232323,2.818349436543183,CCR7;GP1BA
MSigDB_Hallmark_2020,Pancreas Beta Cells,1/40,0.178541263849713,0.4460473478484676,0,0,5.250594766058684,9.046436299448686,ABCC8
MSigDB_Hallmark_2020,mTORC1 Signaling,2/200,0.2568151396703299,0.4460473478484676,0,0,2.073232323232323,2.818349436543183,INSIG1;SLC2A1
MSigDB_Hallmark_2020,KRAS Signaling Up,2/200,0.2568151396703299,0.4460473478484676,0,0,2.073232323232323,2.818349436543183,TSPAN13;ETV4
KEGG_2021_Human,Ubiquinone and other terpenoid-quinone biosynthesis,1/11,0.0526112631068001,0.4522712988475076,0,0,20.507216494845363,60.39016493525059,NQO1
KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,2/76,0.0536025243078527,0.4522712988475076,0,0,5.582207207207207,16.33442651078147,UGT2B15;ADH6
KEGG_2021_Human,NF-kappa B signaling pathway,2/104,0.0923618860983623,0.5314648397451982,0,0,4.044117647058823,9.633253532715042,PRKCQ;CXCL1
KEGG_2021_Human,Transcriptional misregulation in cancer,3/192,0.0684033878548076,0.5314648397451982,0,0,3.293734335839599,8.834892057001403,CCNA2;MMP3;ETV4
KEGG_2021_Human,IL-17 signaling pathway,2/94,0.0777399025264114,0.5314648397451982,0,0,4.485960144927536,11.458876515531747,MMP3;CXCL1
KEGG_2021_Human,Drug metabolism,2/108,0.0984194147676292,0.5314648397451982,0,0,3.890723270440251,9.020708783413909,UGT2B15;ADH6
KEGG_2021_Human,Glucagon signaling pathway,2/107,0.0968945402239903,0.5314648397451982,0,0,3.9279761904761905,9.168415338228042,SLC2A1;PCK2
KEGG_2021_Human,PI3K-Akt signaling pathway,4/354,0.0962072237247532,0.5314648397451982,0,0,2.3771428571428572,5.565487695481531,PPP2R2C;EPO;TEK;PCK2
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,3/219,0.0927637499317355,0.5314648397451982,0,0,2.8780701754385967,6.843185560181971,CCNA2;ESPL1;SLC2A1
KEGG_2021_Human,Hematopoietic cell lineage,2/99,0.0849536650943849,0.5314648397451982,0,0,4.253651202749141,10.48801205800616,EPO;GP1BA
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,2/100,0.0864201908419545,0.5314648397451982,0,0,4.210034013605442,10.308411171595903,CXCL1;CCR7
KEGG_2021_Human,Mannose type O-glycan biosynthesis,1/23,0.1068841607644753,0.534420803822377,0,0,9.315838800374882,20.8303053683161,MGAT5B
KEGG_2021_Human,TNF signaling pathway,2/112,0.1045861322849291,0.534420803822377,0,0,3.748484848484849,8.463120355325495,MMP3;CXCL1
KEGG_2021_Human,Pathways in cancer,5/531,0.1196672441361665,0.5565514017334255,0,0,1.9804570914591768,4.2045903235890085,CCNA2;NQO1;EPO;FZD7;SLC2A1
KEGG_2021_Human,Thyroid hormone signaling pathway,2/121,0.1188274699484722,0.5565514017334255,0,0,3.463410364145658,7.37735039666656,SLC2A1;ATP1A3
KEGG_2021_Human,Cell cycle,2/124,0.1236780892740945,0.5565514017334255,0,0,3.3777322404371586,7.059707440693926,CCNA2;ESPL1
KEGG_2021_Human,Dopaminergic synapse,2/132,0.1368393868335086,0.5609047352838187,0,0,3.168589743589743,6.302158331494316,PPP2R2C;SLC6A3
KEGG_2021_Human,Citrate cycle (TCA cycle),1/30,0.1371100464027112,0.5609047352838187,0,0,7.064699608958407,14.037356193959155,PCK2
KEGG_2021_Human,Ascorbate and aldarate metabolism,1/30,0.1371100464027112,0.5609047352838187,0,0,7.064699608958407,14.037356193959155,UGT2B15
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,1/87,0.3483650316799588,0.5748023022719321,0,0,2.3754495324862144,2.5049220014523534,CXCL1
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,1/105,0.403760381976319,0.579308374139936,0,0,1.962529738302934,1.779884339065254,SLC2A1
MSigDB_Hallmark_2020,Pperoxisome,1/104,0.4008090043986375,0.579308374139936,0,0,1.9816835151636472,1.811794309382868,ABCC8
MSigDB_Hallmark_2020,Androgen Response,1/100,0.3888581963975129,0.579308374139936,0,0,2.062168072477351,1.947801335478516,INSIG1
MSigDB_Hallmark_2020,Bile Acid Metabolism,1/112,0.4240209777534018,0.5830288444109275,0,0,1.8381164669824464,1.5770531031709,ABCA6
KEGG_2021_Human,Fatty acid degradation,1/43,0.1905821797563973,0.5856111510785599,0,0,4.87481590574374,8.080844796889387,ADH6
KEGG_2021_Human,N-Glycan biosynthesis,1/50,0.2180025137484037,0.5856111510785599,0,0,4.176940879444562,6.362519703204576,MGAT5B
KEGG_2021_Human,Fructose and mannose metabolism,1/33,0.1497519563026486,0.5856111510785599,0,0,6.401417525773196,12.154851423469324,PFKFB3
KEGG_2021_Human,Pentose and glucuronate interconversions,1/34,0.1539250511865763,0.5856111510785599,0,0,6.207122774133083,11.61532352125674,UGT2B15
KEGG_2021_Human,Tyrosine metabolism,1/36,0.162210516651361,0.5856111510785599,0,0,5.851840942562592,10.643681183156218,ADH6
KEGG_2021_Human,Aldosterone-regulated sodium reabsorption,1/37,0.1663230817512098,0.5856111510785599,0,0,5.689003436426117,10.20506581753972,ATP1A3
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,2/150,0.16746540110247,0.5856111510785599,0,0,2.780686936936937,4.969027798331472,PPP2R2C;ATP1A3
KEGG_2021_Human,Human papillomavirus infection,3/331,0.2212308792963448,0.5856111510785599,0,0,1.8845314505776636,2.8429069423752487,CCNA2;PPP2R2C;FZD7
KEGG_2021_Human,Homologous recombination,1/41,0.182574472256494,0.5856111510785599,0,0,5.119072164948453,8.705479391213508,RAD54L
KEGG_2021_Human,Cytokine-cytokine receptor interaction,3/295,0.1762312868933768,0.5856111510785599,0,0,2.120764239365537,3.681557682605293,EPO;CXCL1;CCR7
KEGG_2021_Human,Wnt signaling pathway,2/166,0.1955741142398512,0.5856111510785599,0,0,2.5073678861788617,4.091562709663729,BAMBI;FZD7
KEGG_2021_Human,cGMP-PKG signaling pathway,2/167,0.197351648080216,0.5856111510785599,0,0,2.4920454545454547,4.044011931819756,RGS2;ATP1A3
KEGG_2021_Human,Hepatocellular carcinoma,2/168,0.1991312341240976,0.5856111510785599,0,0,2.4769076305220885,3.9972117463920855,NQO1;FZD7
KEGG_2021_Human,Type II diabetes mellitus,1/46,0.2024483751456497,0.5856111510785599,0,0,4.54914089347079,7.266207923932136,ABCC8
KEGG_2021_Human,Carbohydrate digestion and absorption,1/47,0.2063653815917961,0.5856111510785599,0,0,4.450022411474675,7.022611447786596,ATP1A3
KEGG_2021_Human,Cocaine addiction,1/49,0.214142359503524,0.5856111510785599,0,0,4.264175257731959,6.571581270407724,SLC6A3
KEGG_2021_Human,Ether lipid metabolism,1/49,0.214142359503524,0.5856111510785599,0,0,4.264175257731959,6.571581270407724,GDPD1
KEGG_2021_Human,Porphyrin and chlorophyll metabolism,1/43,0.1905821797563973,0.5856111510785599,0,0,4.87481590574374,8.080844796889387,UGT2B15
