gene,log2FC,t_stat,p_value,p_adjusted
CTAG2,0.4328571305436546,4.188844870299538,3.539196998852393e-05,0.03539196998852393
MASP1,-0.4322809245078828,-4.182994571743272,3.627144530735571e-05,0.03627144530735571
CT45A1,0.432163618782347,4.18180368027799,3.645300672213017e-05,0.03645300672213017
CXCL5,0.43194346100052494,4.179568765923706,3.679607977168408e-05,0.03679607977168408
GRAMD1B,0.43157977574886586,4.175877228373778,3.736950462369284e-05,0.037369504623692845
BHMT,-0.43115302104421926,-4.1715460895522565,3.805314398053122e-05,0.03805314398053122
RBP5,-0.43108236563274693,-4.170829076314125,3.8167463389220735e-05,0.03816746338922074
SRD5A2,-0.4310283772210588,-4.170281198373286,3.825503671652113e-05,0.03825503671652113
CTAG1B,0.430774450475635,4.167704499758933,3.8669473582990795e-05,0.0386694735829908
COL25A1,-0.4297570995040969,-4.157383275328515,4.037284464128215e-05,0.04037284464128215
AFM,-0.4296263499892653,-4.156057037556961,4.0596836479648726e-05,0.04059683647964873
AOX1,-0.42922703773563187,-4.152007083601387,4.128819690724015e-05,0.04128819690724015
GPT2,-0.4291448163521846,-4.151173243825299,4.143192616242079e-05,0.041431926162420786
XRCC2,0.4290584010947286,4.150296891082808,4.1583497150653515e-05,0.041583497150653514
UAP1L1,0.4289990329872719,4.149694838575915,4.168793210133369e-05,0.04168793210133369
ZNF385B,-0.42891955527444475,-4.148888870167181,4.1828130547544e-05,0.041828130547544
KIAA1609,0.42877835431668,4.147457054089064,4.2078303992319394e-05,0.04207830399231939
ASRGL1,0.42842856696069753,4.143910383266831,4.270414816743816e-05,0.04270414816743816
CHST1,0.4280474780875535,4.140046808351809,4.339600182362766e-05,0.043396001823627656
KCTD17,0.4275813987431493,4.135322250722765,4.425654853641831e-05,0.04425654853641831
CRHBP,-0.42742105286642185,-4.133697022108393,4.4556312410899015e-05,0.04455631241089902
AKR1B15,0.42705917664818827,4.130029460024939,4.523989461071897e-05,0.04523989461071897
HGD,-0.4269641886138845,-4.12906685712894,4.5420958312705824e-05,0.045420958312705824
FMO3,-0.4268311781701866,-4.127718966741253,4.5675653947984745e-05,0.04567565394798474
LST-3TM12,-0.4265360929464578,-4.124728884913278,4.6245519779256225e-05,0.04624551977925623
COLEC10,-0.42586284339483627,-4.117907995172361,4.757092589127826e-05,0.04757092589127826
NCS1,0.425761694869419,4.116883371126552,4.777312432317557e-05,0.04777312432317557
TRIM54,0.4254700420014298,4.113929119509719,4.8360704692495686e-05,0.04836070469249568
